<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.12	16:00:00	1.02706	1.02843	1.02684	1.02807	7775	0	50
2022.08.12	17:00:00	1.02805	1.02805	1.02385	1.02449	12650	0	50
2022.08.12	18:00:00	1.02449	1.02594	1.02440	1.02549	6685	0	50
2022.08.12	19:00:00	1.02549	1.02619	1.02512	1.02565	3751	0	50
2022.08.12	20:00:00	1.02565	1.02680	1.02565	1.02609	2873	0	50
2022.08.12	21:00:00	1.02609	1.02672	1.02597	1.02654	2113	0	50
2022.08.12	22:00:00	1.02653	1.02669	1.02599	1.02606	2399	0	50
2022.08.12	23:00:00	1.02607	1.02619	1.02542	1.02560	1372	0	2
2022.08.15	00:00:00	1.02545	1.02595	1.02540	1.02588	331	0	19
2022.08.15	01:00:00	1.02590	1.02628	1.02562	1.02594	1269	0	2
2022.08.15	02:00:00	1.02594	1.02627	1.02537	1.02538	1302	0	1
2022.08.15	03:00:00	1.02538	1.02674	1.02537	1.02663	2771	0	1
2022.08.15	04:00:00	1.02663	1.02684	1.02532	1.02573	3249	0	1
2022.08.15	05:00:00	1.02573	1.02574	1.02398	1.02454	3016	0	1
2022.08.15	06:00:00	1.02454	1.02531	1.02422	1.02519	1883	0	1
2022.08.15	07:00:00	1.02519	1.02560	1.02501	1.02504	1587	0	50
2022.08.15	08:00:00	1.02504	1.02524	1.02397	1.02407	2186	0	5
2022.08.15	09:00:00	1.02407	1.02476	1.02323	1.02362	5152	0	50
2022.08.15	10:00:00	1.02362	1.02447	1.02301	1.02341	6527	0	50
2022.08.15	11:00:00	1.02337	1.02365	1.02000	1.02071	5525	0	50
2022.08.15	12:00:00	1.02072	1.02113	1.01869	1.01995	5092	0	50
2022.08.15	13:00:00	1.01994	1.02070	1.01861	1.02041	4740	0	50
2022.08.15	14:00:00	1.02042	1.02088	1.01896	1.01955	4722	0	50
2022.08.15	15:00:00	1.01954	1.02147	1.01907	1.02009	8724	0	50
2022.08.15	16:00:00	1.02008	1.02233	1.01938	1.01983	7794	0	50
2022.08.15	17:00:00	1.01983	1.02009	1.01852	1.01940	7088	0	50
2022.08.15	18:00:00	1.01941	1.01962	1.01814	1.01851	5305	0	50
2022.08.15	19:00:00	1.01851	1.01856	1.01716	1.01759	3486	0	50
2022.08.15	20:00:00	1.01759	1.01785	1.01638	1.01649	2668	0	50
